pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
2,Example_Files/Y.v08.txt,91,4,64,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,97,4,64,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,101,4,68,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,103,4,67,2,3,7,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,106,4,58,2,3,10,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,111,4,68,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,113,4,60,2,2,8,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,114,4,68,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,115,4,61,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,120,4,64,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,121,4,64,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,137,4,82,2,3,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,138,4,82,2,3,6,True,True,2,2,2,True,
1,Example_Files/Y.v08.txt,139,4,98,3,3,6,True,True,3,1,1,True,2.0
2,Example_Files/Y.v08.txt,144,4,74,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,151,4,74,2,2,5,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,157,4,68,2,3,12,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,175,4,68,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,182,4,88,2,3,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,185,4,68,2,3,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,188,4,64,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,207,4,56,2,2,8,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,208,4,98,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,220,4,67,2,3,7,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,232,4,52,2,2,8,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,235,4,68,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,241,4,52,2,2,8,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,249,4,98,2,3,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,250,6,46,4,9,24,True,True,4,2,2,True,
1,Example_Files/Y.v08.txt,251,12,28,11,24,48,True,True,11,1,1,True,1.0
2,Example_Files/Y.v08.txt,256,4,110,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,261,4,94,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,265,4,82,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,266,4,94,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,278,4,70,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,284,4,98,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,286,5,55,3,3,12,True,True,3,2,2,True,
2,Example_Files/Y.v08.txt,300,4,98,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,302,4,98,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v09.txt,14,5,50,3,5,13,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,16,5,54,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,19,5,65,3,6,24,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,30,5,53,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,31,5,50,3,5,11,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,32,5,59,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,35,5,56,3,5,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,36,5,56,3,5,13,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,49,5,75,3,3,11,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,52,5,74,3,5,11,True,True,3,2,2,True,
